label,Anatomy,,,Isomap-theta-123,,,Isomap-theta-dist-123,,,Q,Close-To-Center-Clustering,Close-To-Center-Distance-Clustering
92,-23,60,29,-18.32206284,-19.4460815,-8.270674101,3.903807962,1.70251022,2.938660268,1,2,2
93,9,21,2,-28.36525216,-17.03664955,4.035961747,2.938719811,-0.639166575,1.112912161,1,2,2
94,-9,-47,11,-14.13254857,28.12141889,31.63608321,1.604476438,-5.73419271,-0.80487701,4,2,2
95,43,-26,63,33.49747068,-31.30507001,12.73234742,-6.14126015,-1.157494567,4.5785992,2,2,2
96,-3,63,33,-37.5888759,-12.04060339,14.84560893,9.566833726,-2.105665557,2.265720571,1,2,2
97,33,16,-36,-30.20657756,-6.773113358,8.370344086,6.124945948,-0.901436394,1.2397868,1,2,2
98,5,-48,69,46.46086783,22.88705282,-14.67596698,-7.903831421,-0.563569985,-3.286065793,2,2,2
99,-38,-23,46,41.71023892,-17.49289698,8.185008211,-7.88654405,-0.845197763,2.314349732,2,2,2
100,67,-12,-18,-38.21541981,-8.209003801,22.61159617,11.28942696,-2.378099291,0.83906792,1,2,3
101,-6,25,0,-20.26009426,-1.485303882,-1.417980524,0.732693824,0.244129688,2.248220325,1,2,1
102,-36,-79,-8,-0.576079861,46.13312662,-5.602758301,0.299174837,-4.598565712,-4.713747607,4,2,2
103,-61,-45,7,0.116584317,5.454315682,14.66146136,0.36383039,-1.305589578,0.92325164,1,1,1
104,-51,-5,-36,-38.98947482,-10.18372604,17.14860799,6.390665888,-2.191867276,3.121516163,1,2,2
105,60,-63,3,20.21884357,13.92186738,-5.600061886,-4.837653821,-0.055320033,-2.764937246,4,2,2
106,25,22,58,-23.37111713,-26.74155817,-14.40786508,7.87202367,4.50634295,1.714083894,1,2,2
107,-7,-21,-29,-13.12906042,21.79094474,17.56378492,-0.32992172,-1.733635157,0.694174104,1,2,1
108,-32,-3,66,34.70917264,-18.35760241,11.56789962,-8.516176711,-0.231059126,3.031830144,2,2,2
109,-34,-1,-44,-17.44047317,3.431773715,-0.360662618,2.83860732,-1.641931525,-0.134288589,1,2,2
110,39,0,50,18.369231,-12.68178208,1.229286839,-3.505835735,0.458469327,2.901905986,2,2,2
111,-30,41,-14,-15.05546066,-31.63350288,-2.367128412,1.809013915,2.386852282,2.677552548,3,2,2
112,34,30,4,18.04391241,-17.85733084,-2.770291414,-3.735642198,1.005524546,2.420649658,2,2,2
113,24,-61,3,20.48763949,35.09492126,18.70300869,-5.926321195,-4.324697229,-2.180411465,4,2,2
114,24,52,-12,-27.61891335,-11.79686717,-32.8029293,5.395071528,4.78727723,-0.016031528,1,2,2
115,-5,18,36,31.7484571,-16.78040994,-0.519345331,-5.81236751,0.362703112,1.404707894,2,2,2
116,-42,-65,3,11.02153238,34.26327702,13.47776062,-2.199902486,-5.098851589,-3.059107486,4,2,2
117,18,-81,42,26.37306355,38.55689269,-2.157248071,-6.209005145,-0.946010504,-5.297303981,4,2,2
118,-6,-81,19,31.71240001,34.45997968,-2.460635465,-8.526052589,-3.316212352,-3.054128337,4,2,2
119,-54,-51,39,-34.61633645,-4.224320748,-25.48575975,9.347721982,3.181871998,-4.400108706,1,2,2
120,-44,28,30,3.325519835,-5.608281844,-28.52209854,0.530920267,2.271313656,0.451708261,3,2,1
121,10,25,-11,-34.37543707,-10.45199161,20.72278679,4.071919124,-2.486213547,3.77968069,1,2,2
122,63,-48,-12,-11.84192643,-9.373088562,-32.0976738,3.3365462,6.875071441,-1.373075447,3,2,2
123,-26,-42,69,47.23976123,-10.26111457,8.935961616,-11.01909273,1.961815476,0.957011649,2,2,3
124,30,-1,13,3.236296017,-15.77333271,5.586341289,-0.674388185,1.334125375,2.264807673,2,1,1
125,-16,-3,66,45.42238599,-2.395700631,-15.77358421,-9.462854915,1.602789673,-0.971866231,2,2,2
126,16,-32,51,32.97743312,-8.715074349,-5.062079777,-6.971657673,0.333591885,0.409107023,2,2,2
127,27,63,15,-21.54333177,-24.77054769,-4.898717458,6.412117282,1.546204646,2.510817053,1,2,2
128,-39,-4,-9,27.12174855,-7.619552779,19.40081827,-6.689136205,-0.239434907,3.51043196,2,2,2
129,47,-81,10,0.89469327,46.61627768,8.244279734,-0.032852322,-4.872019982,-4.009865953,4,2,2
130,-45,-13,14,31.78309737,-14.95894695,22.0234406,-8.078458958,-1.166429211,3.824799601,2,2,2
131,10,-18,-15,-17.65679253,24.09813865,2.889900609,2.77308357,-0.210758725,0.641421123,1,2,2
132,-7,22,11,-10.82710949,-14.56789094,-1.650092686,1.670121462,1.595824118,4.058001187,1,2,2
133,-24,-63,-8,7.704494194,57.57932266,3.323674788,-3.464174858,-3.255977967,-5.336588328,4,3,2
134,51,-25,18,31.10235297,-12.71112153,22.568926,-5.715112859,-1.542511096,3.221869102,2,2,2
135,-27,-69,53,6.562723265,27.88781695,-40.38703834,-0.492694609,3.240521383,-6.120913388,4,2,2
136,51,-20,-20,-30.55102153,-7.463421805,4.728704489,5.474291388,-0.196392522,1.773229575,1,2,2
137,61,6,-3,36.34686589,-8.226610964,23.22639647,-8.62518019,0.389826895,2.977140601,2,2,2
138,-17,43,42,-34.63204406,-0.308888412,-8.582057344,7.230367457,0.537786062,0.307898544,1,2,2
139,22,-87,-6,4.827735051,45.63962486,-6.30198662,-1.700418643,-2.568598326,-2.931377666,4,2,2
140,-28,-42,-31,2.793989935,30.56102788,-24.41061962,0.754753962,1.211369753,-4.328700278,1,2,2
141,14,-46,39,-40.40823933,6.241532048,15.08825098,10.57523644,-3.181408873,-0.651708891,1,2,3
142,-48,32,23,10.79132202,-6.05253773,-17.98106587,-1.171933241,1.675536856,0.922378277,3,2,2
143,11,34,35,-25.78913723,-28.7810628,-13.15732925,4.082284013,4.157918778,2.930966543,1,2,2
144,-63,-28,0,-15.59534759,-19.83021787,27.66660813,5.286482671,-2.512538189,3.963020794,1,2,2
145,15,-2,20,-10.38799368,-4.346240207,-9.840035853,1.571430068,1.360589371,-1.172405838,1,1,2
146,12,56,7,-42.38475525,-15.52612371,12.83388498,8.201733857,-1.391074582,2.236484171,1,2,2
147,-53,-21,31,42.24786296,-7.121230164,-0.537562582,-9.159680323,2.836239238,-1.084715027,2,2,2
148,-36,-2,-29,-2.861062424,24.63481169,9.776030325,0.27536806,-1.897140117,-1.154102057,1,2,1
149,60,0,40,36.77618951,-27.03341812,1.926390753,-8.519985096,0.897303176,2.926170257,2,2,2
150,54,-33,3,-13.48609024,-19.22566855,26.70236528,4.783711535,-3.998356164,2.949749579,1,2,2
151,26,-6,-41,-23.00497674,2.337743329,5.61504462,1.825610728,-1.079634263,1.277716731,1,2,1
152,55,36,10,-12.02154102,-25.37084167,-24.36278884,2.139345485,5.120104213,0.757433223,3,2,2
153,9,-29,61,37.15009734,-24.26190651,13.88009126,-7.210922477,-0.514256372,4.233681046,2,2,2
154,-39,-65,18,2.800680925,34.17059831,11.03844691,-0.955232191,-5.783887659,-4.324450606,4,2,2
155,-44,-45,18,-6.092224733,14.99763129,20.94878903,-0.370362601,-4.64998573,0.419930966,4,2,2
156,-1,-73,6,29.89501966,36.59031258,6.340992589,-7.266232414,-2.796359767,-3.724900321,4,2,2
157,-12,-17,13,4.422737453,13.52237624,6.776050335,-1.927216367,-0.700724062,0.333467317,1,1,1
158,21,-27,3,0.791218233,13.6328885,18.13688156,-1.876156153,-2.308710567,1.192585701,2,2,2
159,-19,45,-11,-2.158364878,-13.78276885,-29.88209152,-0.531105615,3.616885062,1.400326315,3,2,2
160,22,-3,-9,-10.90299901,-11.64149477,21.00191763,1.273150549,-1.452774619,3.728849812,1,2,2
161,7,-20,46,19.44416444,-17.8930615,8.391026247,-2.830004751,-0.625367782,3.553519256,2,2,2
162,-28,46,26,25.7247257,-17.55535777,-11.40699506,-4.872260231,1.129586915,0.342958857,2,2,2
163,12,51,-21,-21.84569345,-25.94835832,12.90561373,2.676890033,-0.23394814,5.346270845,1,2,2
164,12,-50,-31,-16.18219194,23.52224591,2.682486755,4.357292735,-0.001277345,-1.049082655,1,2,2
165,38,-67,51,-35.73304841,-12.31391883,-28.62220853,9.093501565,5.985970786,-3.787129859,1,2,3
