label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,
12,38,49,-9,-527.460135,198.8097097,-4063.375623,-167.6044542,1154.344272,3420.716645,-86.22652756,1522.472717,-3116.911577,60.38695637,1901.696349,2541.573156
13,-21,59,-11,1836.910029,-3299.17425,-1188.048028,1749.387827,-1710.354631,2538.85828,2080.183289,-1360.41755,-2506.381225,2268.629082,-726.2874528,2465.621143
14,51,-46,16,-952.9993762,3280.401629,-1473.744943,-886.5034719,3213.722262,1041.282322,-831.7914462,3103.131931,-699.0407349,-938.3132944,3070.569764,83.87843021
15,51,-64,-30,-2649.808005,839.3836923,364.6755085,-2330.05594,479.5666742,-587.2248571,-2224.093972,457.6431696,556.831011,-2266.030304,330.0176887,-416.8745613
16,33,50,-8,644.8692667,191.0312282,-3877.321989,323.5211297,815.7440779,3922.507164,570.073726,1022.072541,-3458.010058,786.9562943,1535.306296,3085.750301
17,7,-27,32,527.5199729,1432.557356,1866.892547,50.71799712,1191.225836,-2003.498879,49.96023625,796.4340834,2194.692175,31.37558685,315.0521572,-2028.229445
18,-9,-94,6,-1555.525652,1005.972032,2598.439024,-1512.537146,584.8292435,-2421.105005,-1591.095589,357.9619871,2211.727082,-1362.036733,-113.3708964,-2025.747594
19,18,-36,75,2223.136913,3896.813453,2095.759398,1928.127909,2768.539379,-2639.798822,1582.318771,2656.963775,2378.333395,1589.465561,1889.3012,-2760.893898
20,12,43,17,-1020.455633,-2894.279473,-2467.836608,-516.7768027,-1574.553452,2799.875352,-229.6377301,-1378.055676,-2599.997454,-345.7549397,-851.1694579,2672.124678
21,-27,-34,0,-2382.714568,-1134.603928,867.3059654,-2138.104499,-1297.484947,-511.0248761,-1977.21941,-1206.224767,507.3292569,-1758.235952,-1376.963018,-208.4633028
22,69,-24,-8,-2249.493706,1576.163125,-1363.853624,-1851.175437,1781.277043,1166.940762,-1785.890421,1814.09803,-997.6531348,-1754.846538,1732.501389,540.0478402
23,27,9,54,3090.748098,1774.332303,-2682.855557,3383.327143,2210.332268,1943.67752,2858.720662,2223.906636,-1671.92942,2991.740873,2185.713629,1210.914933
24,-54,7,-15,-999.5403506,-2721.682538,1061.722717,-788.4601734,-2961.798374,-259.8981252,-552.2971319,-2589.992769,-88.60144886,-320.0468697,-2533.544274,561.4318142
25,-24,8,-42,-466.4954764,-2514.204537,583.6122255,-872.4814834,-2705.902812,29.05758077,-517.709541,-2469.305125,-224.333134,-224.7085416,-2100.416762,601.1391662
26,-48,-68,24,-185.2347492,-526.01207,3387.889786,196.0348055,-1025.51916,-3298.65859,-213.3109534,-1039.359658,2947.783346,-1.616370509,-1385.876461,-2554.667476
27,-5,-31,39,797.0001487,1267.870333,1894.685637,479.9330493,822.274577,-2029.683457,368.0909596,635.4481396,2044.2654,323.3680551,-67.71905863,-1886.155437
28,-9,10,-6,-2120.231698,-1985.531952,73.08016665,-1945.922739,-1859.367142,353.1910778,-1847.411109,-1775.010488,-657.3039743,-1694.465906,-1713.761543,824.1267259
29,-45,-3,47,4469.117839,-2066.999705,1976.257871,3950.761072,-2280.665602,-1454.548917,4059.651254,-2671.520866,1290.054373,3712.39635,-2876.203543,-1284.500753
30,-54,-35,50,4821.631448,-921.7217926,4094.252204,4076.628959,-1634.184208,-3375.749346,3824.438774,-1378.656056,3488.464601,3886.338098,-1988.954011,-2969.534045
31,17,-18,20,-2425.04564,-264.2075844,-41.85931947,-2171.2433,-87.14397543,314.4751603,-2029.199219,-185.7989281,-386.9716586,-2097.937125,-100.3304017,517.2859951
32,-2,41,8,-686.3380468,-2657.82316,-2354.828312,-566.9526233,-1997.400821,2771.912715,16.65304138,-1618.114124,-2372.45508,-42.39118413,-1072.827385,2518.000817
33,63,-54,15,-1152.167831,2631.698596,-1431.303362,-1172.686436,2321.120522,737.2545936,-1041.317827,2312.552005,-651.000783,-1162.365892,2377.939159,302.3705833
34,31,-9,70,3540.453619,4677.258179,-1743.17911,3486.503193,4050.317542,-151.6219205,3540.600785,3826.876913,202.0889937,3141.803606,3748.698942,-968.3994934
35,17,-97,8,-2233.148155,1457.747073,1110.441955,-1903.686964,969.1260304,-1240.609698,-1826.724908,803.0163036,1153.962822,-1740.033811,591.8789365,-1176.006453
36,-48,34,-2,-173.2745356,-3383.180933,188.3167244,-280.3270838,-3016.780683,580.3316666,-144.3544353,-2842.341708,-557.3326805,117.4642993,-2672.840985,1148.288806
37,9,44,54,4943.63088,-661.0441193,-2480.521258,4515.532539,-229.649572,2109.727023,4430.635131,496.9343589,-2175.460937,3830.266686,471.7672018,1739.163402
38,41,-8,-40,-2390.035368,836.2706932,-1517.827724,-2065.740005,951.9143523,1159.568826,-1984.539663,1121.899748,-1094.73965,-1857.421137,1157.818892,771.5379057
39,-36,-9,6,-815.3979999,-2991.751684,812.8442111,-944.2005977,-3103.224426,-84.99178469,-713.3157158,-2691.217796,-259.9898658,-470.7811733,-2557.327224,533.539944
40,-15,-57,68,2481.741225,2576.368828,3520.733195,1916.933012,1601.594656,-3648.169814,1714.936119,1714.735051,3546.529511,1603.864207,784.0617107,-3684.132261
41,-6,-1,75,3160.607531,199.6194653,1315.433877,2737.034489,384.9422356,-1157.893568,2659.741205,234.9322218,1247.228614,2478.010835,-94.92636483,-1327.772011
42,-3,-20,-38,-2483.584433,-291.5581348,559.6087208,-2346.738527,-400.2803147,-356.270675,-2212.640259,-480.5170147,260.0140367,-2142.7681,-639.8199046,-143.866152
