label,Anatomy,,,Isomap-25,,,Isomap-50,,,Isomap-75,,,Isomap-100,,,Q
43,2,0,15,-30.38780014,-9.606048179,-4.793202413,-25.17491095,-10.27397923,-6.723579781,-22.71338957,-9.055246802,-7.480574952,-20.45855404,-7.29178779,-8.478796497,11
44,51,-53,53,13.75245796,70.4324222,16.60115336,10.1844897,59.04734194,19.34012951,7.509603686,57.55585955,18.28753418,6.34242008,53.70972575,23.55156211,5
45,-17,70,6,44.20629483,-47.11377909,-47.67045417,45.2961415,-37.37340309,-35.05611299,43.88284513,-27.59897822,-43.96362882,42.75329586,-11.75905475,-39.46247091,8
46,35,-72,28,-20.18870335,49.31292198,9.337437414,-17.48590438,43.9421026,5.48141186,-15.45940409,42.42637583,2.484614602,-15.61444498,39.92984201,6.426569758,5
47,28,37,-17,-26.15073156,2.009127475,-34.69604139,-23.98085225,3.284840339,-30.66476887,-19.92629416,5.282196377,-26.11124712,-18.50301286,7.914561171,-26.33537132,14
48,67,-29,25,15.70070103,67.64839954,-22.53797484,17.78893528,61.59016788,-24.7981697,16.80349152,54.79078944,-25.80175405,18.57945148,58.9522669,-18.38940058,17
49,56,3,31,22.47064532,47.16478198,-39.59875253,13.88214343,41.42975589,-34.54404088,17.65714222,43.54999459,-34.52564885,15.31389864,40.15820563,-26.8471253,9
50,57,8,-28,-32.02929096,15.61222405,-19.67414323,-27.5509198,15.53723703,-16.65932578,-26.09334265,15.33462624,-15.66918346,-23.52835546,14.83828277,-10.99187285,10
51,-30,-63,37,21.98471833,6.833935375,50.20125223,24.83718596,1.421765328,47.21109918,25.63707288,4.596720824,46.44546099,27.46188214,-7.382914602,49.64931599,2
52,-6,-25,75,50.95756425,18.48433931,34.05747123,43.91241876,17.4979912,29.16779529,41.47171167,17.25140839,27.5567931,37.81184884,11.00320834,32.55492715,7
53,-33,18,-37,-14.4931332,-37.77310344,7.669721057,-9.623367989,-35.06543695,1.121732278,-8.050411604,-31.60946124,5.060166961,-6.171102786,-27.22213249,-0.179014464,13
54,21,-69,56,6.490174172,42.74166619,38.25315382,7.123399657,35.0024588,36.02571774,5.875614991,33.77339206,37.52936129,4.171691379,28.73154328,38.01461815,5
55,-33,-24,21,41.77166832,-30.93716219,52.85214797,41.133825,-28.95378222,37.40662077,38.04036449,-28.97954542,35.08443963,38.17961763,-32.12081184,30.56598381,2
56,66,-45,2,-33.70828687,23.20440815,-15.01113412,-24.86422308,21.95739896,-16.45697614,-24.86984758,22.21399425,-15.87691927,-23.40481268,22.88901185,-8.698714766,10
