label,anatomy,,,isomap,,,MDS,,,tsne,,,PLACE,Q
1007,86.715,169.42,44.238,-1.4582573,-3.1189253,0.71134859,2.178535351,-0.422089741,-0.671042831,-25.35091249,12.9229003,20.80688792,14,2
1007,73.713,172.05,38.355,-0.96963394,-3.0005367,0.24569763,1.68616637,-0.365259705,-0.765281299,-25.27962361,11.74037049,18.45680157,14,2
1008,80.003,206.78,91.734,-2.0944874,-1.5154912,-0.45285827,0.943349961,-0.998779165,-0.527712303,-21.96255579,2.481633553,24.23184805,14,2
1008,77.599,203.84,74.701,-1.9685386,-1.2568972,-0.6934371,0.639731426,-1.041657762,-0.611664654,-20.39409199,-0.299512169,22.64229509,14,2
1008,71.54,198.5,90.391,-1.5283387,-0.98258734,-0.94354278,0.212818211,-0.823070097,-0.718740524,-18.8036725,-2.19163173,17.447922,14,2
1008,70.674,200.07,70.085,-1.6428961,-1.1116563,-0.91081041,0.313483159,-0.944530899,-0.769865796,-19.90097737,-2.419342388,18.91207508,14,2
1008,86.729,197.78,81.61,-2.0470498,-1.2765384,-0.64814717,0.698653243,-1.084925931,-0.596387964,-21.36398742,0.81481228,22.52841255,14,2
1008,85.614,193.27,68.856,-1.8282743,-1.0036508,-0.84405178,0.344358249,-1.077767788,-0.697131088,-19.6461838,-1.531290417,20.35628743,14,2
1008,77.604,192.67,79.934,-1.4403995,-0.82039773,-1.1155088,-0.015165181,-0.848680151,-0.801541799,-17.47244614,-4.744411729,16.96381716,14,2
1008,81.757,184.33,87.759,-1.0314208,-0.59145594,-1.1839302,-0.363451736,-0.664931804,-0.817927664,-11.01227498,-12.50336303,4.82146455,14,2
1008,63.009,194.35,87.186,-1.2645345,-1.0750458,-0.95449024,0.20035193,-0.630992024,-0.728690552,-19.01163995,-3.105124095,15.38369333,14,2
1008,63.561,195.38,65.696,-1.2870706,-1.5680807,-0.94918013,0.457990273,-0.685811823,-0.96407236,-20.79796613,-0.711943211,16.47820696,14,2
1008,65.364,186.44,94.072,-0.78482318,-0.46203047,-1.2529436,-0.578318287,-0.529904357,-0.875810552,-9.04867825,-14.42308945,3.287994948,14,2
1008,70.613,181.37,80.742,-0.77135211,-0.98176122,-1.2431967,-0.165975772,-0.456210076,-0.987901223,-12.53163525,-11.05676713,0.944369292,14,2
1008,55.735,192.85,67.679,-1.0907464,-1.5135148,-0.9470576,0.394615327,-0.58165447,-0.857086128,-20.46472056,-1.102196241,14.42437927,14,2
1008,50.806,188.04,63.151,-1.1190752,-2.154428,-0.59875584,0.880855672,-0.431003751,-0.771139308,-22.05043991,1.509776883,14.79403121,14,2
1008,59.528,183.98,79.286,-0.65118331,-0.98994958,-1.2161403,-0.167221371,-0.37369685,-0.962402702,-12.69345198,-12.36059298,-1.095241332,14,2
1008,52.909,181.83,62.506,-0.58915377,-1.1503941,-1.1571437,-0.043614212,-0.304712141,-0.875802342,-13.23030672,-10.16272425,-1.001437564,14,2
1009,168.37,190.87,29.372,-1.6437088,-0.19482726,0.85474449,0.511002074,-0.932658462,-0.014674667,-9.818511967,10.41787164,37.46340224,14,2
1009,155.26,197.65,34.7,-1.8149372,-0.37227041,0.94325417,0.711256636,-0.981454794,-0.087554601,-12.0986892,11.02657208,37.04009768,14,2
1009,145.58,206.7,38.208,-2.1616137,-0.61868191,1.085322,1.04009985,-1.116003681,-0.075859708,-15.00179517,11.73525866,35.97149696,14,2
1009,110.52,209.2,44.49,-3.1339014,-1.784477,1.3225501,2.104810155,-1.567193586,0.022636291,-24.90904191,12.56312739,32.67785288,14,2
1009,121.4,202.01,42.97,-2.8815751,-1.7010698,1.2865367,1.895158589,-1.470961037,-0.110958851,-23.10877545,12.62563636,32.55463852,14,2
1009,87.895,198.54,42.537,-2.1499848,-2.4108493,0.013234739,1.553779845,-1.024461472,-0.694370111,-24.58663837,7.87049719,21.67722326,14,2
1009,133.17,202.71,40.917,-2.6091931,-1.2737068,1.3337911,1.590673085,-1.265477746,-0.060779488,-20.85408549,12.63985392,33.88551934,14,2
1009,135.92,193.32,42.014,-2.4871716,-1.1610224,1.3196037,1.495901015,-1.169516929,-0.064252477,-19.13432491,12.91139957,34.27513809,14,2
1009,97.199,208.58,39.407,-3.303525,-2.5233676,1.3279008,2.81230066,-1.518668359,-0.058167826,-27.21808367,14.6812681,31.73016486,14,2
1009,98.728,200.5,41.212,-2.7915621,-2.5920153,0.87260413,2.302745418,-1.242173898,-0.417986656,-26.01685429,13.16625897,28.6079264,14,2
1010,107.63,154.28,78.083,-0.22447017,-0.32036242,-0.68986505,-0.560763141,-0.234198188,-0.637758496,-8.159821937,-19.39122438,-5.748954019,14,8
1010,102.04,150.03,83.118,-0.28912407,-0.34067088,-0.30281389,-0.25400448,-0.255483439,-0.400889121,-8.576807556,-19.27467115,-4.863542011,14,8
1010,97.506,162.53,63.368,-0.50131166,-0.55994725,-0.67371279,-0.298923592,-0.349650466,-0.716380292,-9.72019364,-18.05568708,-4.995232196,14,8
1010,95.43,152.82,76.298,-0.36322573,-0.17513116,-0.75021768,-0.530485694,-0.342303635,-0.500952374,-8.129580392,-19.77330541,-3.761365883,14,8
1011,81.068,193.75,41.115,-1.766459,-2.1205707,-0.47126025,1.057715705,-0.936219725,-0.827391265,-23.67693947,5.152060756,19.89872927,14,2
1011,77.693,188.65,40.565,-1.4815962,-2.4520366,-0.40471783,1.183958362,-0.747301277,-0.934215398,-24.26088736,6.371641206,18.62815854,14,2
1011,68.479,199.47,49.899,-1.7761852,-2.8762074,-0.036016796,1.747118227,-0.730251082,-0.779955264,-25.02725388,9.280160792,20.54254967,14,2
1011,68.619,193.38,40.994,-1.1327759,-2.7039919,-0.28024817,1.295767953,-0.476466325,-0.960121695,-24.69096129,7.586058748,17.47072899,14,2
1011,59.078,193.79,43.612,-0.42540428,-2.3927674,-0.6332674,0.761004621,-0.110186501,-0.938687567,-24.29167848,11.26253151,-12.30267143,14,5
1011,52.626,188.39,41.58,-0.21877927,-2.3804982,-0.54106522,0.716407928,-0.013914914,-0.852595945,-22.43474748,12.0291764,-13.15243245,14,5
1011,64.819,180.07,34.246,-0.48623464,-2.62499,-0.41089654,1.014800965,-0.151437162,-0.828252153,-23.83240066,12.53048861,-10.87711628,14,5
1011,59.452,183.75,40.614,-0.29085144,-2.2571883,-0.7912699,0.55752766,-0.113600734,-0.873540433,-23.5199752,10.03103256,-13.56022251,14,5
1011,56.875,165.94,29.166,-0.27603391,-2.4645708,-0.44429401,0.849537504,-0.095436879,-0.790586479,-23.29585783,11.12586104,-11.61803148,14,5
1011,51.778,170.28,35.002,-0.17857982,-1.9877017,-0.97968686,0.29495533,-0.096970531,-0.869429832,-22.69270976,7.962927935,-14.4366812,14,5
1011,44.434,169.25,45.821,-0.02899589,-1.939271,-1.0723615,0.215309675,0.016817994,-0.948520844,-22.32194192,8.633229691,-14.89022904,14,5
1011,46.679,177.3,36.909,-0.22617321,-2.2168565,-0.68221378,0.612928857,-0.071042004,-0.781130959,-23.74794116,10.57513028,-14.03676673,14,5
1011,41.074,160.14,53.111,0.46596414,-1.3937793,-1.1949117,-0.137226444,0.407237674,-1.047228166,-12.69146935,-6.257718289,-13.78849611,14,5
1011,39.084,159.71,40.197,0.29923168,-2.2014196,-0.37995192,0.604054659,0.36232787,-0.866904994,-20.71696417,10.67444876,-16.37855536,14,5
1011,48.204,154.1,33.742,-0.07447926,-1.7861879,-0.54030406,0.424910879,0.033203053,-0.961117605,-20.61091805,7.942594691,-13.63878884,14,5
1011,41.555,148.35,42.449,0.42411262,-2.4359913,-0.1384303,0.885718149,0.444471574,-0.812069531,-20.23777957,12.43536011,-17.36094626,14,5
1012,224.71,160.22,63.763,-0.89123458,1.4635763,1.1008141,-0.25713896,-0.64539345,0.867677142,9.465938427,3.542065567,32.83084731,6,3
1012,229.43,150.95,60.723,-0.65293556,1.5200529,0.55654335,-0.675616935,-0.484340781,0.661809324,15.04848756,1.44496322,28.16439676,6,3
1012,213.06,166.2,64.367,-1.2003546,1.4458517,1.5177573,0.082080407,-0.836121476,0.98818173,4.051793329,4.302598321,36.72564648,6,3
1012,206.7,152.97,54.584,-0.93734699,1.4401444,1.1269382,-0.270293859,-0.686576056,0.845220369,8.156050597,4.091360459,33.93966321,6,3
1012,199.66,173.9,64.687,-1.4326224,1.3758047,1.6232744,0.21502521,-0.993673303,0.983102304,2.647609239,4.292623628,36.5586399,6,3
1012,192.17,180.98,59.52,-1.5487723,1.2759255,1.7361766,0.357453973,-1.061565653,0.982420678,1.153848113,5.252280624,37.48375698,6,3
1012,195.21,159.22,57.357,-1.0807689,1.4215248,1.2767924,-0.151616461,-0.77802833,0.871267539,6.447230359,4.300437229,35.00146296,6,3
1012,186.91,165.65,58.581,-1.3039054,1.3904463,1.3671137,0.014400782,-0.930675596,0.861120712,4.886503767,4.88864742,35.6015242,6,3
1013,93.908,170.92,55.453,-0.37653866,-1.8797783,-0.49331504,0.689725544,-0.279948287,-0.846470543,-21.68583899,6.991520484,-9.035922317,13,5
1013,99.227,161.06,54.985,-0.74996823,-2.7689753,0.68769908,1.629848101,-0.23943169,-0.539853803,-23.52999136,11.51873454,-2.649670756,13,5
1013,80.407,169.26,50.155,-0.36329719,-1.8476206,-0.51589304,0.658049879,-0.268150024,-0.842158966,-21.02381296,7.232319418,-9.316285834,13,5
1013,83.995,157.23,53.175,-0.73372114,-3.1920922,0.85193944,2.051356252,-0.189830683,-0.433781907,-23.97951602,12.33625386,-0.752421329,13,5
1013,69.008,162.84,38.016,-0.42226815,-2.1044469,-0.35483813,0.903823955,-0.284781064,-0.765453481,-23.00410468,8.001563412,-7.759730277,13,5
1013,72.846,150.59,47.851,-0.40325075,-2.143868,-0.22133283,0.983397368,-0.240119852,-0.731248022,-21.71576941,9.210484291,-6.849636885,13,5
1013,58.329,152.98,30.007,-0.2433209,-2.4444773,-0.19817315,1.04604743,-0.073351618,-0.763817242,-22.85988665,11.09649025,-8.159727161,13,5
1013,62.251,145.98,37.337,-0.37029335,-2.7391241,0.21179557,1.432928301,-0.044971714,-0.6288196,-23.34552343,11.58161929,-5.144223365,13,5
1014,218.23,144.89,65.387,-0.061867628,1.5265803,1.1992162,-0.38753154,-0.130576239,1.046583926,16.02757716,4.91253416,23.69776457,4,3
