label,anatomy,,,Isomap,,,PACE
147,44.83,-64.45,38.91,117750.9671,182582.1778,-32973.24229,8
148,-26.05,52.45,22.7,1241723.293,-1135858.979,1742706.129,1
149,32.47,44.8,27.44,-1087262.795,742508.4429,-195107.7283,1
150,-41.06,49.43,-3.62,-643461.5328,-7283.46465,-515638.4389,3
151,32.68,-77.53,30.34,255434.0995,-799630.4436,-781682.7447,12
152,-43.45,-37.29,48.05,-1388974.587,-1409797.061,-137225.6211,15
153,27.82,-48.95,-13.61,481308.2428,779701.0165,164068.7957,9
154,-8.72,20,60,681922.4856,-21463.59511,784400.9364,1
155,-1.24,-54.49,38.35,-1544531.93,279155.5121,105343.6581,8
156,30.17,-87.11,-11.16,1339507.461,-170253.7912,-386443.3247,10
157,-14.79,-74.07,-10.59,-374618.1556,-343804.4494,61573.14223,10
158,26.41,1.47,-0.41,-539086.2709,-692606.3215,-461719.6532,13
159,-13.91,-52.47,-1.15,848127.0143,497076.221,85400.30464,9
160,55.54,-28.76,43.37,1130134.059,-549946.824,292767.1381,15
161,45.09,13.89,-23.93,1153897.266,464626.1587,-185381.2018,5
162,-8.2,0.85,65.78,-1293655.137,-165339.7944,182517.3373,16
163,-27.69,57.69,4.46,-411263.5131,-152006.8261,-492628.4091,3
164,-47.23,5.41,2.14,918805.3444,-194472.8337,-538876.1558,13
165,43.76,-24.49,15.59,-1266260.472,-487824.1043,35573.57868,14
166,12.05,43.28,45.44,-1448037.514,-869860.2599,24485.65876,7
167,13.22,21.65,59.11,990573.1334,-854998.5469,-703726.4657,1
168,-18.96,-52.15,64.79,232369.8987,-837192.2752,-154832.6236,11
169,-27.56,-57.52,-13.72,747834.6059,-607731.2456,-45358.44962,9
170,-21.96,30.71,46.93,-568288.8097,-81793.37086,-73114.15337,7
171,14.61,56.78,28.83,579158.9801,855614.8568,-52990.77289,7
172,8.24,-86.35,-12.75,-164042.0663,-741053.9509,-728969.1971,10
173,-46.67,14.4,-11.95,-1146678.919,-445468.5098,-401935.1702,1
174,-4.29,-52.43,57.71,-1643648.772,313587.4902,186002.5862,11
175,30.61,-0.73,-36.67,1089722.608,216727.8278,-313941.1283,5
176,-15.53,-29.77,-19.43,-1134211.39,-466678.0662,-221370.2149,6
177,-43.09,-30.86,14.82,-608447.1862,1598344.527,-78848.85672,14
