label;Anatomy;region_name;hemisphere
1745;Right;MNI(42:27:-7);right
1746;Right;MNI(5:-20:-38);right
1747;Right;MNI(3:-51:25);right
1748;Left;MNI(-17:-6:-10);left
1749;Right;MNI(14:70:16);right
1750;Left;MNI(-54:3:41);left
1751;Left;MNI(-8:-44:-15);left
1752;Right;MNI(2:-60:27);right
1753;Left;MNI(-51:-45:33);left
1754;Left;MNI(-48:-9:-25);left
1755;Right;MNI(16:-28:44);right
1756;Right;MNI(43:32:30);right
1757;Right;MNI(2:-4:11);right
1758;Right;MNI(57:-11:-15);right
1759;Left;MNI(-39:-27:63);left
1760;Right;MNI(31:-41:-22);right
1761;Left;MNI(-38:3:61);left
1762;Right;MNI(12:-87:10);right
1763;Right;MNI(54:30:24);right
1764;Left;MNI(-48:-16:9);left
1765;Right;MNI(29:-78:24);right
1766;Left;MNI(-42:-29:-25);left
1767;Right;MNI(24:21:-1);right
1768;Right;MNI(18:-57:5);right
1769;Right;MNI(22:-63:60);right
1770;Left;MNI(-39:-20:45);left
1771;Right;MNI(32:-75:-21);right
1772;Left;MNI(-40:51:18);left
1773;Left;MNI(-57:-48:-12);left
1774;Right;MNI(21:27:55);right
1775;Left;MNI(-14:-33:9);left
1776;Left;MNI(-45:-61:45);left
1777;Left;MNI(-6:39:21);left
1778;Right;MNI(56:-48:-4);right
1779;Right;MNI(43:-59:-5);right
1780;Right;MNI(47:7:15);right
1781;Left;MNI(-41:3:-34);left
1782;Right;MNI(33:-49:52);right
1783;Right;MNI(8:-62:-44);right
1784;Left;MNI(-6:-58:-31);left
1785;Right;MNI(12:56:0);right
1786;Right;MNI(5:-76:35);right
1787;Left;MNI(-29:-79:17);left
1788;Left;MNI(0:-62:-43);left
1789;Right;MNI(50:-11:58);right
1790;Right;MNI(45:-61:-35);right
1791;Right;MNI(63:-2:6);right
1792;Left;MNI(-48:-50:-12);left
1793;Right;MNI(3:-14:60);right
1794;Right;MNI(18:-1:-16);right
1795;Left;MNI(-52:-46:15);left
1796;Right;MNI(44:54:15);right
1797;Left;MNI(-7:-71:17);left
1798;Left;MNI(-45:-16:-3);left
1799;Left;MNI(-32:-8:58);left
1800;Right;MNI(45:-54:47);right
1801;Left;MNI(-6:-38:63);left
1802;Right;MNI(9:46:33);right
1803;Left;MNI(-36:59:12);left
1804;Right;MNI(35:8:65);right
1805;Left;MNI(-23:59:-3);left
1806;Right;MNI(1:-58:-48);right
1807;Right;MNI(57:20:7);right
1808;Left;MNI(-31:15:-13);left
1809;Left;MNI(-2:-63:8);left
1810;Left;MNI(-39:-16:-20);left
1811;Right;MNI(3:9:44);right
1812;Right;MNI(57:-36:-13);right
1813;Left;MNI(-42:-54:18);left
1814;Right;MNI(50:-78:4);right
1815;Right;MNI(3:54:-1);right
1816;Right;MNI(18:-90:22);right
1817;Left;MNI(-17:21:-9);left
1818;Right;MNI(66:-32:10);right
1819;Right;MNI(11:-37:35);right
1820;Left;MNI(-11:-12:14);left
1821;Left;MNI(-49:-58:0);left
1822;Right;MNI(7:-21:-32);right
1823;Left;MNI(-45:12:36);left
1824;Right;MNI(30:45:28);right
1825;Left;MNI(-23:-85:-11);left
1826;Left;MNI(-18:-60:25);left
1827;Left;MNI(-3:-33:-5);left
1828;Left;MNI(-52:-45:5);left
1829;Left;MNI(-37:-83:9);left
1830;Right;MNI(4:44:16);right
1831;Right;MNI(24:10:69);right
1832;Right;MNI(11:-64:-13);right
1833;Right;MNI(5:-60:-21);right
1834;Left;MNI(-44:-30:4);left
1835;Right;MNI(40:-28:51);right
1836;Left;MNI(-20:12:55);left
1837;Right;MNI(39:54:-1);right
1838;Right;MNI(2:-56:-47);right
1839;Right;MNI(6:-4:-3);right
1840;Right;MNI(8:-72:48);right
1841;Right;MNI(4:33:29);right
1842;Right;MNI(45:-21:17);right
1843;Left;MNI(-19:-69:-12);left
1844;Right;MNI(34:32:-15);right
1845;Left;MNI(-9:-38:-28);left
1846;Right;MNI(21:-22:-9);right
1847;Left;MNI(-18:-9:68);left
1848;Left;MNI(-36:43:23);left
1849;Left;MNI(-64:-26:10);left
1850;Right;MNI(10:25:52);right
1851;Left;MNI(-51:-62:28);left
1852;Right;MNI(54:-51:8);right
1853;Right;MNI(4:-52:53);right
1854;Right;MNI(18:70:0);right
1855;Left;MNI(-1:-17:46);left
1856;Right;MNI(50:42:23);right
1857;Left;MNI(-3:-80:36);left
1858;Left;MNI(-13:-53:6);left
1859;Left;MNI(-20:53:-12);left
1860;Right;MNI(54:-58:-23);right
1861;Right;MNI(2:-2:71);right
1862;Right;MNI(35:63:-5);right
1863;Right;MNI(48:9:25);right
1864;Right;MNI(4:41:-11);right
1865;Left;MNI(-36:45:17);left
1866;Right;MNI(41:-19:-23);right
1867;Left;MNI(-60:-33:23);left
1868;Right;MNI(55:-54:22);right
1869;Right;MNI(21:-48:72);right
1870;Right;MNI(16:-80:-10);right
1871;Right;MNI(12:66:22);right
1872;Right;MNI(19:-66:-19);right
1873;Right;MNI(41:5:56);right
1874;Right;MNI(36:0:-44);right
1875;Left;MNI(-29:-5:-43);left
1876;Right;MNI(31:-56:-7);right
1877;Left;MNI(-36:12:60);left
1878;Right;MNI(49:11:-18);right
1879;Left;MNI(-46:-36:50);left
1880;Right;MNI(32:-20:71);right
1881;Left;MNI(-5:-90:0);left
1882;Left;MNI(-46:4:14);left
1883;Right;MNI(17:24:3);right
1884;Right;MNI(14:-36:-20);right
1885;Left;MNI(-14:-15:-12);left
1886;Right;MNI(2:-62:-45);right
1887;Left;MNI(-15:7:-27);left
1888;Right;MNI(59:-62:17);right
1889;Right;MNI(51:-20:56);right
1890;Left;MNI(-57:-1:13);left
1891;Left;MNI(-19:-64:-18);left
1892;Left;MNI(-27:-69:32);left
1893;Left;MNI(-60:-39:-11);left
1894;Right;MNI(40:-78:-3);right
1895;Right;MNI(69:-36:3);right
1896;Left;MNI(-10:31:56);left
1897;Right;MNI(58:-29:37);right
1898;Left;MNI(-46:2:-38);left
1899;Left;MNI(-1:-45:65);left
1900;Right;MNI(34:54:29);right
1901;Right;MNI(31:-77:31);right
1902;Right;MNI(48:33:4);right
1903;Left;MNI(-52:-21:38);left
1904;Right;MNI(60:-8:43);right
1905;Left;MNI(-17:2:-40);left
1906;Left;MNI(0:56:-22);left
1907;Left;MNI(-51:14:-14);left
1908;Left;MNI(-3:9:72);left
1909;Right;MNI(39:10:53);right
1910;Left;MNI(-14:-85:-4);left
1911;Left;MNI(-32:-13:20);left
1912;Right;MNI(30:10:2);right
1913;Left;MNI(-50:-45:24);left
1914;Left;MNI(-3:-24:56);left
1915;Left;MNI(-8:-69:34);left
1916;Right;MNI(9:36:47);right
1917;Left;MNI(-26:0:61);left
1918;Left;MNI(-31:-75:-23);left
1919;Right;MNI(19:10:-18);right
1920;Right;MNI(2:-80:-10);right
1921;Right;MNI(39:-15:-32);right
1922;Left;MNI(-23:-31:-28);left
1923;Right;MNI(56:-17:2);right
1924;Left;MNI(-21:-88:26);left
1925;Right;MNI(2:57:36);right
1926;Right;MNI(3:-30:40);right
1927;Left;MNI(-36:41:39);left
1928;Left;MNI(-31:-7:-11);left
1929;Right;MNI(59:0:22);right
1930;Left;MNI(-42:-53:-23);left
1931;Right;MNI(63:-38:40);right
1932;Left;MNI(-7:-57:69);left
1933;Right;MNI(42:22:-28);right
1934;Left;MNI(-44:14:9);left
1935;Right;MNI(3:57:23);right
1936;Right;MNI(14:-61:-44);right
1937;Right;MNI(28:-63:-31);right
1938;Left;MNI(-56:-24:-2);left
1939;Left;MNI(-25:9:59);left
1940;Right;MNI(36:-21:-8);right
